,text,sentiment_score,sentiment_category
102,footballer ronaldo turning hotel covid hospital,0.0,neutral
103,coronavirusupdates india record highest ever single day peak covid recovery indiafightscorona total recovery cross lakh recovery exceed active case lakh http co xby er k p http co vdqsv xvub,1.0,positive
104,cough fever runny nose symptom came suddenly good chance could flu watch find next fightflu http co fp asjumw,1.0,positive
105,president trump say panda responsible covid http co mgan g oy donaldtrump china coronavirus zoo panda,2.0,positive
106,today active covid case mumbai district maharastra http co ccqiygbxl mohfw india drharshvardhan drhvoffice mantralayaroom covid covid covid coronaupdatesinindia coronavirus coronavirusupdates coronaviruspandemic http co k icon kz,1.0,positive
107,public health england weekly coronavirus report show rise almost rhinovirus infection include common cold last week http co n jzzyu lj,-1.0,negative
108,image suspected coronavirus vaccine causing covid,-1.0,negative
109,people likely others become severely ill covid mean may require hospitalization intensive care ventilator help breathe severely ill people may die learn http co lxfaqqx http co manrecav g,-7.0,negative
110,camila pitanga brazilian actress contracted covid said caught malaria could take chloroquine without admitting wrong,-2.0,negative
111,new coronavirus cause sudden death syndrome,-2.0,negative
112,indiafightscorona increasing gap covid recovered active case india may september staysafe indiawillwin http co ffj dkyspr,1.0,positive
113,coronavirus party deadly consequence http co wtrijwju,-3.0,negative
114,cabinet office minister michael gove say going shift emphasis working home new covid restriction kayburley get latest coronavirus news http co hk hrup ay http co q btm ye p,-2.0,negative
115,james gross well reporting quite effectively refuse put number table dashboard reason beyond,-2.0,negative
116,looking number like yesterday one state california drove huge increase number seems much solid driven number state reporting large number test completed,6.0,positive
117,india lost individual coronavirus till date view rising coronavirus case bihar government extends lockdown state till september nationalist congress party chief sharad pawar residence four people tested positive coronavirus http co lqgjhhvr g,0.0,neutral
118,bill gate profit vaccination want reduce world population,3.0,positive
119,indiafightscorona mohfw india held virtual meeting today state ut ensure adequate oxygen availability healthcare facility unrestricted intra well inter state movement oxygen read detail http co cfx myecfx staysafe indiawillwin http co ja u ey z,2.0,positive
120,hcps attend next coca call tuesday aug pm et via zoom topic covid telehealth implementation story field learn http co vwvkebacnf covid http co yid bdxiap,0.0,neutral
121,healthy year old boy lost life covid day http co smqhswqt,-1.0,negative
122,important part work data collection analysis pm every day data team collates result received testing laboratory inform nigerian number new covid case result received time reported next day http co nyo neimrk,2.0,positive
123,finally launched first real version covid racial data tracker partnership dribram antiracismctr major effort project volunteer hope useful community across country http co htyv ta,5.0,positive
124,acc mohfw india incubation period covid time exposure novel coronavirus becoming infected symptom onset day median estimate day long day coronavirus covid covid http co u wkfqs sm,0.0,neutral
125,nasal flu vaccine side effect cause covid,-2.0,negative
126,today case bring combined total confirmed probable covid case people reported recovered today two people hospital one middlemore north shore hospital neither icu,0.0,neutral
127,new publication covid pandemic could cause hiv treatment interruption allow increase new infection program plan avoid risk save life full report http co x xey iiz author brittajewell jennifersmith timothyhallett http co mmrowjy jr,-3.0,negative
128,transparency leader vital crisis must access data make informed decision behavior change az resident access data model projection http co u iux kml http co rpkjdmzkev,-3.0,negative
129,one nz receiving hospital level care covid yesterday laboratory completed test bringing total number test completed minister advised reassured number continue increase coming day,4.0,positive
130,followlasg rapid response team working nfeltp strengthen community testing covid lgas team provides support newly reactivated lga walk testing site increased testing capacity access awareness covid grassroot level http co mniu obt v,5.0,positive
131,new recovered case reported five state viz maharashtra tamil nadu andhra pradesh karnataka uttar pradesh maharashtra alone contributed andhra pradesh contributed new recovery http co ntodwipflp,-2.0,negative
132,claim india began screening passenger covid affected country single case pm modi fact govt mandated universal screening internat l flight march case detected across indian state http co caogf glz,-1.0,negative
133,say coronavirus military bio weapon developed china army,0.0,neutral
134,indore india police doctor injecting coronavirus positive blood muslim,2.0,positive
135,photo vaccine developed u scientist covid,0.0,neutral
136,video clip show doctor couple died treating covid patient,-3.0,negative
137,death reported bringing total dataset include probable covid death reported nyc new york state working separate accounting lab confirmed probable death state http co j rbzys rz,-6.0,negative
138,youth sport organization resume activity planned player visitor coach get sick covid cdc offer tip protect health safety staff player visitor involved youth sport tip http co tnpx fnvg http co ops mqskvf,0.0,neutral
139,one politician died virus,-3.0,negative
140,indiafightscorona health ministry review covid management response district across state exhibiting high caseload fatality,-3.0,negative
141,covid http co j aacjvhg,0.0,neutral
142,leaked report say many human planet http co kvl ooxu globalwarming coronavirus conspiracy,-4.0,negative
143,another current known data problem washington state rock solid reporting early part outbreak system got gummed seen new update state day,-2.0,negative
144,india spraying pesticide night prevent covid,-1.0,negative
145,home ministry declared posting coronavirus declared punishable offense,-2.0,negative
146,refuse socialdistance sign pledge bypass care get ill coronavirus http co bpyweruwv via arthurcaplan http co nwyblekp,-2.0,negative
147,rt cdcenvironment use bleach solution disinfecting product food currently case covid identifie,1.0,positive
148,free coronavirus test kit available http co vvmmt ayai health coronavirus,1.0,positive
149,drharshvardhan dispels doubt raised failure one vaccine clinical trial say trial continuing expert committee reappraisal significant mutation sars cov india icmr actively exploring saliva based test covid pib india,-2.0,negative
150,thirty nine gps specialist written bmj calling action long covid http co kgv pf http co jtc oucomw,0.0,neutral
151,scientist expressing cautious optimism covid vaccine ready go late spring although unclear much longer would take distribute vaccine widely http co srnfkura c,0.0,neutral
152,want context hospitalization data situation check weekly roundup tackled transitional period producing erratic artificially deflated hospitalization data http co tuohxwun u http co cddxgjrrw,1.0,positive
153,coronavirusupdates covid testing status update icmrdelhi stated sample tested upto september sample tested september staysafe indiawillwin http co awnpnmp jv,0.0,neutral
154,video show first infected patient covid dhanbad hospital,-2.0,negative
155,say daniel radcliffe coronavirus,0.0,neutral
156,today total active covid case india sample tested today till pm covid lakshadweep reported single case till date arunachalpradesh mizoram reported covid case last hr http co lq ugeq,1.0,positive
157,trump coronavirus may end november rd http co nn tfmvxr dranthonyfauci smallpox,0.0,neutral
158,coronavirus scientist believe coronavirus affect body http co mlmhan tjf,0.0,neutral
159,former rep trey gowdy wrote essay past social medium claiming covid pandemic planned help democrat election,2.0,positive
160,health equity everyone opportunity healthy possible must address long standing inequity put racial ethnic group higher risk covid learn cdc covid healthequity strategy http co ovro b r http co xht gsfsgy,2.0,positive
161,product page amazon offering toxic chlorine dioxide industrial bleach often sold name miracle mineral solution covid cure reported edpilkington guardian http co iiwgff hbe,2.0,positive
162,recent date confirmed data north carolina may th infection rate meaning covid case slowly increasing,-2.0,negative
163,possible vaccine could available end year csa patrick vallance say vaccine could available small amount certain group adding likely see vaccine first half next year http co n totq zuh http co pzlzrn ego,1.0,positive
164,phase dos allocated proportionally participating country simultaneously reduce overall risk phase consideration given country relation threat vulnerability drtedros covid http co kocc gcx,-6.0,negative
165,great news carona virus vaccine ready able cure patient within hour injection hat u scientist right trump announced roche medical company launch vaccine next sunday million dos ready note message requires confirmation,3.0,positive
166,state reported death trend good http co yduwnhfwy,1.0,positive
167,new case covid lagos oyo fct niger borno jigawa kaduna anambra edo river nasarawa bauchi benue zamfara case covid nigeria discharged death http co vbfas yqyj,-2.0,negative
168,twofold increase mortality among coronavirus patient hypertension http co enlbntdzbl,1.0,positive
169,july last day state reported new covid case wear cloth face covering keep ft others wash hand often interested data state see covid data tracker http co ku nklzcq http co hmpsgmsgrl,2.0,positive
170,covid never going away beach today raleigh north carolina,0.0,neutral
171,pope francis dying coronavirus http co wjinjkyi,-3.0,negative
172,new case covid nigeria lagos plateau oyo fct edo kaduna enugu ogun kano kwara cross river ondo river ekiti imo borno confirmed discharged death http co sjk grls,-2.0,negative
173,people offering prayer group rooftop despite lockdown case coronavirus india continuously increasing,0.0,neutral
174,access covid tool act accelerator aim provide equitable access tool tackle form covid disease asymptomatic mild severe disease http co zpl dmyiy,-4.0,negative
175,positive rate fallen lot since early april back like lot change driven rising test plummeting positive rate northeast http co krvy od x,4.0,positive
176,rt imperialcollege uk government announced million support prof robin shattock roboskis team phase two trial,2.0,positive
177,open vacancy nurse doctor health professional work temporary hospital paulo used treat covid case,0.0,neutral
178,photo funeral recently deceased sri lankan politician arumugam thondaman shared thousand time multiple facebook post post claim image show one thondaman daughter violated sri lanka mandatory coronavirus quarantine policy traveler attending ceremony shortly returning country overseas,-3.0,negative
179,morning identified close contact tokoroa health professional currently hospital covid already contacted expect contact remainder today,0.0,neutral
180,last place free covid pacific helped country region step effort prepare arrival covid http co jgwgoj z b whoimpact http co xsbv dwgxs,1.0,positive
181,new covidview report hospitalization rate death covid increasing indicator track hospitalization death usually lag behind indicator track illness http co zp vylo pb http co wptwivfqf,-7.0,negative
182,true coronavirus cause sore throat gargling salt warm water may make feel better direct effect virus covid afaracare,4.0,positive
183,dna vaccine shown work rhesus monkey exposing vaccinated monkey covid le virus lung read study sciencemagazine http co lr f qmp v,-1.0,negative
184,important strategy dealing doomsday scenario covid flu measles http co dscsm xx http co nb rn,0.0,neutral
185,older child seem spread covid like adult http co sd peyonoo http co ejmr x f,2.0,positive
186,grateful support ihstowers providing ambulance nigeria covid response used port health service fmohnigeria kano edo oyo state emergency operation centre expand current capacity transportation case http co czuncll,4.0,positive
187,sadly people hospital today around country covid two ward north shore hospital two icu one north shore one waikato hospital hoping everyone full speedy recovery,0.0,neutral
188,indian politician uddhav thackeray asked christian pray jesus stop covid,1.0,positive
189,average number case nationwide flattened past week breaking downward trend seen beginning august http co tioecwn,0.0,neutral
190,positive coronavirus case nagpur along three doctor one ventilator,2.0,positive
191,latest cdc covidview report show minority population like american indian black hispanic continue hospitalized covid nearly time rate non hispanic white counterpart learn http co zp vylo pb http co hpmlwpxd,0.0,neutral
192,asxgold kia os new zealand resident citizen child partner permitted enter new zealand,0.0,neutral
193,indiafightscorona test track treat effective implementation centre state ut ensured india one lowest covid case death per million population compared several country http co caqhv rk,-1.0,negative
194,indiafightscorona union health ministry urge state ut ensure restriction imposed movement medical oxygen state http co yx xzsuzt pmoindia drharshvardhan ashwinikchoubey pib india ddnewslive airnewsalerts icmrdelhi mygovindia,-2.0,negative
195,study covid likely mix seattle early flu season http co hdb mh,-2.0,negative
196,photo show people infected coronavirus lying sidewalk china,-2.0,negative
197,indiafightscorona active case total covid case recovery lakh exceed active case lakh http co ftuvx turg http co yvdleoybr,2.0,positive
198,state like new york illinois california vocal demand funding bail pension system failing long covid outbreak program related crisis,-6.0,negative
199,news anti vaxxers close deciding medical condition pretend caused coronavirus vaccine http co dawxnypj http co envxr byr,-2.0,negative
200,coronavirusupdates total covid case india september cured discharged migrated active case death total covid confirmed case cured discharged migrated active case death http co hukbdqm f,-2.0,negative
201,new case covid lagos fct bauchi river oyo kaduna gombe edo ogun jigawa enugu kano osun ondo case covid nigeria discharged death http co xq b yib,-2.0,negative
202,florida number today include large number backlogged test state said http co esolo gpgn,0.0,neutral
203,local lockdown measure imposed welsh county rhondda cynon taf rise coronavirus case http co odij cy sg,0.0,neutral
204,announces algeria outside danger regarding covid,-2.0,negative
205,state reported nearly k case today day may positive rate highest since late may http co lzr w htvn,2.0,positive
206,vast majority student st dominic casual contact tested precaution student staff well symptom covid need self isolate waiting test result,0.0,neutral
207,prime minister boris johnson say government shortly setting priority group think covid test follow live update pm face question liaison committee http co mcyj kfv http co qlpstqmj g,0.0,neutral
208,antibody common cold produce positive covid test false positive result covid antibody testing behind covid case reported u,3.0,positive
209,child year represent reported covid case death compared age group usually mild disease http co c uxqrrmn http co l gqfttymg,-3.0,negative
210,man beaten deoria india lockdown time,-2.0,negative
211,daily update published tracked million test k yesterday note track test state report detail see http co pzrmh bl http co djdfyx mey,0.0,neutral
212,coronavirus like broken leg http co ggjyvfjzrc,1.0,positive
213,photo show mass fleeing myanmar thailand due coronavirus pandemic,0.0,neutral
214,georgia particularly worrisome state seen large rise reported death despite rising infection steep hospitalization curve today state reported second highest death since beginning pandemic highest number since april http co xuz nna bl,-5.0,negative
215,new finding confirm earlier research showing major increase physician employment hospital past decade http co woolrigvku,1.0,positive
216,ireland entire cabinet restrict movement health minister felt unwell tested coronavirus reported http co zo bfugy,-2.0,negative
217,backdrop lockdown video wild animal taking road surfacing internet among set picture herd deer round social medium claiming picture lake club chandigarh,0.0,neutral
218,reported death toll today last friday two state reported death today ny pa http co ejuetbswz,-4.0,negative
219,one optimistic point state left side chart finding positive case even lot testing suggests mitigation strategy working http co bbzkvmkc,4.0,positive
220,mathguy hedgeyedj thank extremely insightful one two trusted website follow provide good summary update covid follow chrismartenson really good job recent video touted importance vitamin elderberry among thing,11.0,positive
221,florida broke new york day average record case per million population today testing capacity obviously much much greater spring however still stunning see record fall http co vgzrm uwgw,6.0,positive
222,outbreak continues many people united state point time either year next exposed covid likely many become sick people likely mild illness http co sldrvxxfcz,-6.0,negative
223,sir ganga ram hospital directed patient stay home n treat urself implies delhi govt miserably failed administrative responsibility providing health care n left delhites fate must sacked n lg take charge u agree,-1.0,negative
224,one previously reported case considered recovered total number active case imported case miq facility community case,1.0,positive
225,joe diffie death labeled covid death,-4.0,negative
226,modeling assumption assume baseline general hospital occupancy rate across hospital accounting hospitalized non covid patient assume hospital increase available bed covid patient roughly double,-1.0,negative
227,bame doctor uk still given access potentially life saving covid risk assessment http co qsgkfqj p,-2.0,negative
228,daily update published state reported k test k case death http co h ur f,-2.0,negative
229,doctor named leslie chow discovered coronavirus died contact coronavirus patient,-3.0,negative
230,though number new case remained relatively flat regional data show steady state new case region scaled population http co vm npwhuks,0.0,neutral
231,yesterday lab processed test total number test completed date people linked community cluster auckland quarantine facility includes people tested positive household contact,2.0,positive
232,coronavirus hospital urgent plea people go busy e covid test http co nrugoqjs,-1.0,negative
233,rightmove said activity aided current stamp duty holiday driven high demand garden space work home covid disrupts day day life http co adgxpjblhl,-3.0,negative
234,say covid virus,0.0,neutral
235,anyone flight facility time case treated close contact tested isolated negative result received,-3.0,negative
236,chris fairchild state provide negative result frequency comprehensiveness point think positive rate important indicator alexismadrigal,2.0,positive
237,new case covid nigeria lagos fct plateau kaduna ogun kwara ebonyi ekiti oyo borno edo kano nasarawa osun taraba gombe bauchi confirmed discharged death http co c hfahc,-2.0,negative
238,per tamilnadu govt total sample tested covid sep covid covid covid covid covid india corona coronavirus coronavirusindia coronaviruspandemic coronavirusupdates covidupdates coronaupdate coronaupdatesindia http co ozpoahr z,0.0,neutral
239,trump effort blame obama sluggish coronavirus testing,-4.0,negative
240,first change track pending number state total go le erratically second tracking number state broaden grading criterion third making major change website,0.0,neutral
241,indiafightscorona india climb another historic peak lakh test lakh test done last hour pmoindia drharshvardhan ashwinikchoubey pib india ddnewslive airnewsalerts icmrdelhi covidnewsbymib pti news ani,0.0,neutral
242,state reported newly discovered case today last week low almost exact match last tuesday new case number http co lznngowak,0.0,neutral
243,public broadcast rtve published map coronavirus case spain fact map penis average size different region,0.0,neutral
244,allegheny county pa department emergency service using diverse source response planning including covid act http co hcvbhyvsmw http co hd bbpn q,-2.0,negative
245,aaj tak news report chinese prime minister said reading quran offering namaz cure covid,0.0,neutral
246,aug national forecast suggest new weekly covid death may decrease coming week new death week ending sept forecast predict k k total covid death u sept http co ft cgmampx http co c jhb v jg,-6.0,negative
247,developer bank tell government already spent ireland share eu trillion covid recovery fund http co rjdmlwsjes,1.0,positive
248,drjudyamikovits promise viable vaccine developed covid virus think rehire judith mikovits living scientific encyclopedia viral research involved scientific research permitted,1.0,positive
249,nancy pelosi suggests coronavirus c renamed c honor president trump http co sj al bawb donaldtrump,2.0,positive
250,rt whoafro child wear mask safely child must clean hand maintain safe distance stop spread,3.0,positive
251,mar lago test positive coronavirus http co pkmc cyg donaldtrump coronavirus mikepence maralago kayleighmcenany,2.0,positive
252,covid vaccine oxford university success people cured,2.0,positive
253,confirmation earlier today second death linked covid last two day mean number covid related death new zealand,-4.0,negative
254,photo show french nurse holding sign denounce police violence,-5.0,negative
255,daily update published state reported k new case covid solid k test covid death today day average death http co p l w oq,-2.0,negative
256,warns consuming cabbage prevent covid,-3.0,negative
257,coronavirusupdates total covid case india september cured discharged migrated active case death total covid confirmed case cured discharged migrated active case death http co agerkg egm,-2.0,negative
258,weekend lag effect pronounced death reporting example last week ca reported death monday tues az reported death mon tues today az reported death ca data output complicated human process http co wkn aqcigt,-9.0,negative
259,know strong weekend effect hit sunday monday especially reporting covid death sunday highlighted red http co fpadhxolj,0.0,neutral
260,new infection maharashtra record highest single day spike state far starting pm tomorrow manipur go complete lockdown day bhopal madhya pradesh impose city wide lockdown july august covid coronavirusfacts http co u zp p,-3.0,negative
261,louisiana posted record case count back back reporting saturday one positive thread compare hospitalization case chart clear diagnosing infection la first peak test today http co rgmowepkfe,1.0,positive
262,whatsapp forward attributed cnn claim dr li wenliang whistleblower chinese government propaganda covid documented research report according report chemical like methylxanthine theobromine theophylline stimulate compound ward virus human body least average performing immune system,2.0,positive
263,debunking misinformation coronavirus hoax travel fast number cause growing outbreak need clarification http co lqlfunenns http co euomfkdku,-5.0,negative
264,detail one covid tracking sharpest observer jordan zino gavinnewsom livestream http co l alob http co ozuw xckhd,0.0,neutral
265,person released quarantine isolation pose risk spreading covid people share fact coronavirus disease http co afhzlq v http co sawdcn bpe,-2.0,negative
266,pandemic opened door physician online learning physician new medscape report find http co jitkgktrrt,0.0,neutral
267,young people greater chance killed hpv vaccine covid,2.0,positive
268,pandemic,0.0,neutral
269,growing number state city requiring face covering anyone leaving home learn best material make face mask properly wear care http co ostj oqq,6.0,positive
